"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier"
"7634",0,"Russ",0,"Romania",1,"Y Kushnarev",3,"FH","lost",0,"2","2"
"7635",0,"Wales",1,"Italy",0,"JW Hook",3,"C","won",0,"1","1"
"7636",0,"Port",0,"Georgia",1,"PPDC Cabral",3,"FH","lost",0,"2","2"
"7637",0,"Ukr",0,"Spain",1,"O Kosariev",3,"W","lost",0,"3","2"
"7638",0,"Georg",0,"Portugal",1,"M Kvirikashvili",3,"FH","won",0,"2","2"
"7639",0,"Eng",0,"France",1,"JP Wilkinson",3,"FH","won",0,"1","1"
"7640",0,"Wales",0,"Ireland",1,"SL Halfpenny",3,"W","won",0,"1","1"
"7641",0,"Scot",1,"England",0,"RJH Jackson",3,"FH","lost",0,"1","1"
"7642",0,"Italy",0,"Scotland",1,"M Bergamasco",3,"W","lost",0,"1","1"
"7643",0,"Spain",0,"Romania",1,"A Jorajuria Calavia",3,"FH","lost",0,"2","2"
"7644",0,"Eng",0,"Ireland",1,"TGAL Flood",3,"FH","lost",0,"1","1"
"7645",0,"Germ",0,"Moldova",1,"G Franke",3,"FB","lost",0,"2","3"
"7646",0,"HK",0,"Japan",1,"K Robertson",3,"FH","lost",0,"3","2"
"7647",0,"SL",0,"Japan",1,"N Hettiarachchi",3,"W","lost",0,"3","2"
"7648",0,"SL",1,"Japan",0,"R Weeraratne",3,"SH","lost",0,"3","2"
"7649",0,"Namib",0,"Romania",1,"EA Jantjies",3,"FH","lost",0,"2","2"
"7650",0,"Rom",0,"Namibia",1,"FA Vlaicu",3,"FB","won",0,"2","2"
"7651",0,"Port",0,"Namibia",1,"F Serra",3,"FB","lost",0,"2","2"
"7652",0,"Samoa",0,"Fiji",1,"TJ Lavea Levi",3,"FH","lost",0,"2","2"
"7653",0,"Fiji",0,"Japan",1,"S Baikeinuku",3,"FH","lost",0,"2","2"
"7654",0,"Scot",0,"Ireland",1,"CD Paterson",3,"FB","won",0,"1","1"
"7655",0,"SA",0,"Australia",1,"FPL Steyn",3,"FB","lost",0,"1","1"
"7656",0,"JPN",0,"USA",1,"RT Nicholas",3,"C","won",0,"2","2"
"7657",0,"Arg",0,"England",1,"F Contepomi",3,"FH","lost",0,"1","1"
"7658",0,"Russ",0,"USA",1,"Y Kushnarev",3,"FH","lost",0,"2","2"
"7659",0,"Russ",0,"USA",1,"K Rachkov",3,"C","lost",0,"2","2"
"7660",0,"Rom",0,"Argentina",1,"TI Dimofte",3,"FH","lost",0,"2","1"
"7661",0,"Fiji",0,"South Africa",1,"S Baikeinuku",3,"C","lost",0,"2","1"
"7662",0,"Fra",1,"Canada",0,"F Trinh-Duc",3,"FH","won",0,"1","2"
"7663",0,"JPN",0,"Tonga",1,"SJ Webb",3,"FB","lost",0,"2","2"
"7664",0,"Rom",0,"England",1,"DM Dumbrava",3,"FH","lost",0,"2","1"
"7665",0,"Scot",1,"Argentina",0,"DA Parks",3,"FH","lost",0,"1","1"
"7666",0,"Scot",0,"Argentina",1,"CD Paterson",3,"FB","lost",0,"1","1"
"7667",0,"Georg",0,"Romania",1,"M Urjukashvili",3,"FH","won",0,"2","2"
"7668",0,"Rom",0,"Georgia",1,"FA Vlaicu",3,"FB","lost",0,"2","2"
"7669",0,"SA",0,"Samoa",1,"FPL Steyn",3,"C","won",0,"1","2"
"7670",0,"Wales",0,"Ireland",1,"SL Halfpenny",3,"FB","won",0,"1","1"
"7671",0,"Fra",1,"England",0,"F Trinh-Duc",3,"SH","won",0,"1","1"
"7672",0,"Arg",0,"New Zealand",1,"MT Bosch",3,"C","lost",0,"1","1"
"7673",0,"Wales",0,"France",1,"JW Hook",3,"FH","lost",0,"1","1"
"7674",0,"Aust",1,"New Zealand",0,"QS Cooper",3,"FH","lost",0,"1","1"
"7675",0,"NZ",1,"Australia",0,"AW Cruden",3,"FH","won",0,"1","1"
"7676",0,"Aust",0,"New Zealand",1,"JD O'Connor",3,"W","lost",0,"1","1"
"7677",0,"Wales",0,"Australia",1,"JW Hook",3,"FH","lost",0,"1","1"
"7678",0,"NZ",0,"France",1,"SR Donald",3,"FH","won",0,"1","1"
"7679",0,"Germ",1,"Netherlands",0,"C Sauer",3,"SH","won",0,"2","3"
"7680",0,"Germ",0,"Poland",1,"R Parkinson",3,"FH","lost",0,"2","3"
"7681",0,"Italy",0,"France",1,"WT Botes",3,"FH","lost",0,"1","1"
"7682",0,"Georg",0,"Spain",1,"M Kvirikashvili",3,"FH","lost",0,"2","2"
"7683",0,"Rom",0,"Russia",1,"VN Calafeteanu",3,"SH","won",0,"2","2"
"7684",0,"Fra",1,"Scotland",0,"L Beauxis",3,"FB","won",0,"1","1"
"7685",0,"Italy",0,"Wales",1,"M Bergamasco",3,"W","lost",0,"1","1"
"7686",0,"Wales",0,"Italy",1,"R Priestland",3,"FH","won",0,"1","1"
"7687",0,"Fra",0,"England",1,"J Dupuy",3,"SH","lost",0,"1","1"
"7688",0,"Italy",0,"Scotland",1,"M Bergamasco",3,"W","won",0,"1","1"
"7689",0,"Fra",0,"Wales",1,"L Beauxis",3,"FH","lost",0,"1","1"
"7690",0,"UAE",0,"Japan",1,"M Strang",3,"FH","lost",0,"3","2"
"7691",0,"Korea",0,"Japan",1,"HS Park",3,"FH","lost",0,"3","2"
"7692",0,"Urug",0,"Chile",1,"JJ Etcheverry Cavanna",3,"FB","won",0,"2","3"
