"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier"
"1",16,"JPN",0,"Sri Lanka",0,"A Goromaru",37,"FB","won",1,"2","3"
"2",14,"JPN",0,"Philippines",1,"A Goromaru",36,"FB","won",1,"2","3"
"3",9,"Kenya",0,"Tunisia",1,"D Mukidza Kinyangi",36,"W","won",3,"3","3"
"4",11,"Georg",0,"Germany",0,"M Kvirikashvili",32,"FB","won",2,"2","2"
"5",11,"JPN",0,"Kazakhstan",0,"A Goromaru",32,"FB","won",2,"2","3"
"6",11,"Urug",0,"Paraguay",0,"JJ Etcheverry Cavanna",32,"W","won",2,"2","3"
"7",4,"Urug",0,"Chile",6,"M Arocena",31,"FH","won",1,"2","3"
"8",1,"SA",0,"New Zealand",8,"M Steyn",31,"FH","won",1,"1","1"
"9",3,"Arg",0,"France",5,"F Contepomi",31,"FH","won",2,"1","1"
"10",10,"Samoa",0,"PNG",0,"GL Williams",30,"C","won",2,"2","3"
"11",0,"JPN",0,"UAE",0,"Y Fujita",30,"W","won",6,"2","3"
"12",10,"JPN",0,"UAE",0,"A Goromaru",30,"FB","won",2,"2","3"
"13",0,"Arg",0,"Brazil",0,"F Barrea",30,"W","won",6,"1","3"
"14",5,"Namib",0,"Cote d'Iv",3,"CA Botha",29,"FB","won",2,"2","3"
"15",6,"Aust",0,"France",4,"JD O'Connor",29,"W","won",1,"1","1"
"16",12,"JPN",0,"UAE",0,"JA Arlidge",29,"FH","won",1,"2","3"
"17",12,"JPN",0,"Philippines",0,"A Goromaru",29,"FB","won",1,"2","3"
"18",5,"Arg",0,"Japan",3,"FN Sanchez",29,"FH","won",2,"1","2"
"19",9,"JPN",0,"Kazakhstan",0,"SJ Webb",28,"FH","won",2,"2","3"
"20",10,"Germ",1,"Sweden",0,"R Parkinson",28,"FH","won",1,"2","3"
"21",8,"SA",0,"Argentina",4,"M Steyn",28,"FH","won",0,"1","1"
"22",3,"Aust",0,"England",4,"BT Foley",28,"FH","won",2,"1","1"
"23",11,"JPN",0,"Kazakhstan",0,"SJ Webb",27,"FH","won",1,"2","3"
"24",4,"NZ",0,"Wales",3,"DW Carter",27,"FH","won",2,"1","1"
"25",4,"Can",0,"Portugal",3,"J Pritchard",27,"FB","won",2,"2","2"
"26",5,"SA",0,"Italy",2,"M Steyn",26,"FH","won",2,"1","1"
"27",5,"Kenya",0,"Tunisia",2,"F Olando Ogutu",26,"C","won",2,"3","3"
"28",3,"Scot",0,"Samoa",5,"GD Laidlaw",26,"SH","won",1,"1","2"
"29",5,"Can",0,"Russia",2,"GA McRorie",26,"SH","won",2,"2","2"
"30",5,"NZ",0,"Wales",2,"BJ Barrett",26,"FH","won",2,"1","1"
"31",7,"Eng",0,"Scotland",4,"OA Farrell",26,"C","won",0,"1","1"
"32",0,"JPN",0,"Korea",0,"K Endo",25,"W","won",5,"2","3"
"33",2,"Eng",0,"Australia",7,"TGAL Flood",25,"FH","won",0,"1","1"
"34",0,"JPN",0,"Sri Lanka",0,"A Tupuailei",25,"C","won",5,"2","3"
"35",10,"Arg",0,"Chile",0,"PF Fernandez Fiant",25,"FH","won",1,"1","3"
"36",7,"Eng",0,"France",2,"GT Ford",25,"FH","won",1,"1","1"
"37",4,"Namib",0,"Russia",4,"TAW Kotze",25,"FH","won",1,"2","2"
"38",4,"Arg",0,"Tonga",4,"FN Sanchez",25,"FH","won",1,"1","2"
"39",0,"JPN",0,"Korea",0,"K Kodama",25,"W","won",5,"2","3"
"40",8,"Rom",1,"Czech Rep",0,"FA Vlaicu",24,"FB","won",1,"2","3"
"41",7,"JPN",0,"Korea",0,"RT Nicholas",24,"C","won",2,"2","3"
"42",0,"SA",1,"Australia",7,"M Steyn",24,"FH","won",0,"1","1"
"43",0,"Scot",2,"Argentina",6,"DA Parks",24,"FH","won",0,"1","1"
"44",3,"SA",0,"Australia",6,"M Steyn",24,"FH","lost",0,"1","1"
"45",0,"Italy",0,"Fiji",8,"M Bergamasco",24,"W","won",0,"1","2"
"46",3,"Fra",1,"Argentina",5,"F Michalak",24,"FH","won",0,"1","1"
"47",2,"Rom",0,"Russia",5,"FA Vlaicu",24,"C","won",1,"2","2"
"48",0,"Arg",0,"Georgia",8,"MJ Bustos Moyano",24,"FB","won",0,"1","2"
"49",2,"Georg",0,"Portugal",5,"M Kvirikashvili",24,"FB","won",1,"2","2"
"50",12,"Namib",0,"Madagascar",0,"TAW Kotze",24,"FH","won",0,"2","3"
"51",2,"JPN",0,"South Africa",5,"A Goromaru",24,"FB","won",1,"2","1"
"52",7,"Spain",0,"Chile",0,"BD Linklater",24,"FH","won",2,"2","3"
"53",3,"Eng",0,"Australia",6,"OA Farrell",24,"FH","won",0,"1","1"
"54",3,"Eng",0,"Australia",6,"OA Farrell",24,"C","won",0,"1","1"
"55",7,"NZ",0,"Samoa",0,"BJ Barrett",24,"FH","won",2,"1","2"
"56",4,"SA",0,"Wales",5,"AD James",23,"FH","won",0,"1","1"
"57",1,"NZ",1,"South Africa",6,"DW Carter",23,"FH","lost",0,"1","1"
"58",2,"Arg",0,"Uruguay",3,"S Gonzalez Iglesias",23,"FH","won",2,"1","2"
"59",3,"Russ",0,"Spain",4,"Y Kushnarev",23,"FH","won",1,"2","2"
"60",3,"Spain",0,"Namibia",4,"M Peluchon Carrero",23,"FB","won",1,"2","2"
"61",9,"NZ",0,"Japan",0,"CR Slade",23,"FH","won",1,"1","2"
"62",4,"Fra",0,"Canada",5,"MRJ Parra",23,"SH","won",0,"1","2"
"63",1,"Port",0,"Chile",7,"PMDC Leal",23,"FH","won",0,"2","3"
"64",1,"Wales",0,"Scotland",7,"SL Halfpenny",23,"FB","won",0,"1","1"
"65",3,"Can",0,"Tonga",4,"J Pritchard",23,"FB","won",1,"2","2"
"66",3,"NZ",0,"Australia",4,"AW Cruden",23,"FH","won",1,"1","1"
"67",9,"Arg",0,"Chile",0,"FN Sanchez",23,"FH","won",1,"1","3"
"68",3,"USA",0,"Canada",4,"CT Wyles",23,"FB","won",1,"2","2"
"69",1,"Wales",0,"England",7,"DR Biggar",23,"FH","won",0,"1","1"
"70",4,"Arg",0,"Ireland",5,"FN Sanchez",23,"FH","won",0,"1","1"
"71",3,"Eng",0,"Argentina",4,"GT Ford",23,"FH","won",1,"1","1"
"72",4,"Kenya",0,"Senegal",0,"D Mukidza Kinyangi",23,"W","won",3,"3","3"
"73",4,"Port",3,"Czech Rep",0,"PPDC Cabral",22,"FB","won",1,"2","3"
"74",4,"NZ",0,"England",3,"DW Carter",22,"FH","won",1,"1","1"
"75",4,"NZ",0,"England",3,"DW Carter",22,"FH","won",1,"1","1"
"76",2,"Wales",0,"Canada",6,"DR Biggar",22,"FH","won",0,"1","2"
"77",2,"Eng",2,"Argentina",4,"AJ Goode",22,"FH","won",0,"1","1"
"78",1,"Aust",0,"France",5,"MJ Giteau",22,"FH","won",1,"1","1"
"79",2,"NZ",0,"Australia",6,"DW Carter",22,"FH","won",0,"1","1"
"80",2,"Aust",0,"Italy",6,"BS Barnes",22,"C","won",0,"1","1"
"81",3,"Wales",0,"Scotland",2,"SL Halfpenny",22,"FB","won",2,"1","1"
"82",4,"Arg",0,"Italy",3,"F Contepomi",22,"C","won",1,"1","1"
"83",4,"Scot",0,"Fiji",3,"GD Laidlaw",22,"FH","won",1,"1","2"
"84",1,"Georg",0,"Japan",5,"M Kvirikashvili",22,"FH","lost",1,"2","2"
"85",2,"Namib",0,"Spain",6,"TAW Kotze",22,"FH","lost",0,"2","2"
"86",7,"Eng",0,"Italy",1,"OA Farrell",22,"FH","won",1,"1","1"
"87",5,"Fiji",0,"Canada",4,"RNDSN Nadolo",22,"W","won",0,"2","2"
"88",7,"Can",0,"Chile",1,"GA McRorie",22,"SH","won",1,"2","3"
"89",4,"SA",0,"France",3,"ET Jantjies",22,"FH","won",1,"1","1"
"90",0,"Scot",1,"South Africa",6,"DA Parks",21,"FH","won",0,"1","1"
"91",1,"JPN",0,"France",3,"JA Arlidge",21,"FH","lost",2,"2","1"
"92",5,"SA",0,"Fiji",2,"M Steyn",21,"FH","won",1,"1","2"
"93",0,"NZ",0,"Argentina",7,"PAT Weepu",21,"SH","won",0,"1","1"
"94",3,"Russ",0,"Spain",5,"Y Kushnarev",21,"FH","won",0,"2","2"
"95",2,"Can",0,"Georgia",4,"J Pritchard",21,"FB","won",1,"2","2"
"96",5,"Germ",0,"Ukraine",2,"R Parkinson",21,"FH","won",1,"2","3"
"97",6,"NZ",0,"Scotland",3,"DW Carter",21,"FH","won",0,"1","1"
"98",3,"Lions",0,"Australia",5,"SL Halfpenny",21,"FB","won",0,"Lions","1"
"99",0,"Rom",0,"Canada",7,"FA Vlaicu",21,"C","won",0,"2","2"
"100",3,"Fiji",0,"Cook Islands",0,"RNDSN Nadolo",21,"C","won",3,"2","3"
"101",0,"Urug",0,"Russia",7,"F Berchesi Pisano",21,"FH","lost",0,"2","2"
"102",3,"Urug",0,"Russia",5,"F Berchesi Pisano",21,"FH","won",0,"2","2"
"103",8,"JPN",0,"Korea",0,"A Goromaru",21,"FB","won",1,"2","3"
"104",3,"Scot",0,"Italy",5,"GD Laidlaw",21,"SH","won",0,"1","1"
"105",5,"Wales",0,"Italy",2,"DR Biggar",21,"FH","won",1,"1","1"
"106",0,"Fra",0,"England",7,"M Machenaud",21,"SH","lost",0,"1","1"
"107",0,"NZ",0,"Lions",7,"BJ Barrett",21,"FH","lost",0,"1","Lions/Barb"
"108",0,"Arg",0,"Chile",0,"FJ Merello",20,"W","won",4,"1","3"
"109",4,"Aust",0,"France",4,"MJ Giteau",20,"FH","won",0,"1","1"
"110",0,"SA",0,"Australia",0,"JL Nokwe",20,"W","won",4,"1","1"
"111",1,"Aust",0,"England",6,"MJ Giteau",20,"FH","won",0,"1","1"
"112",3,"SA",0,"England",3,"R Pienaar",20,"FH","won",1,"1","1"
"113",6,"Georg",0,"Spain",1,"L Malaguradze",20,"FH","won",1,"2","2"
"114",3,"Urug",0,"Paraguay",3,"M Arocena",20,"FH","won",1,"2","3"
"115",0,"JPN",0,"Korea",0,"H Onozawa",20,"W","won",4,"2","3"
"116",0,"Arg",0,"Chile",0,"JJ Imhoff",20,"W","won",4,"1","3"
"117",1,"Lions",1,"South Africa",5,"SM Jones",20,"FH","lost",0,"Lions","1"
"118",4,"Fiji",0,"Japan",4,"S Baikeinuku",20,"C","won",0,"2","2"
"119",0,"Samoa",0,"PNG",0,"E Lauina",20,"W","won",4,"2","3"
"120",2,"Aust",0,"South Africa",2,"MJ Giteau",20,"FH","lost",2,"1","1"
"121",3,"Russ",0,"Namibia",3,"A Yanyushkin",20,"SH","won",1,"2","2"
"122",2,"Aust",0,"England",2,"MJ Giteau",20,"C","lost",2,"1","1"
"123",10,"JPN",0,"Russia",0,"A Tanabe",20,"FB","won",0,"2","2"
"124",7,"Can",0,"Spain",2,"J Pritchard",20,"FB","won",0,"2","2"
"125",1,"Wales",0,"New Zealand",6,"SM Jones",20,"FH","lost",0,"1","1"
"126",0,"Eng",0,"Italy",0,"CJ Ashton",20,"W","won",4,"1","1"
"127",1,"Spain",0,"Portugal",6,"ME Heredia Federico",20,"FH","won",0,"2","2"
"128",0,"JPN",0,"Kazakhstan",0,"T Kizu",20,"H","won",4,"2","3"
"129",0,"JPN",0,"UAE",0,"T Usuzuki",20,"W","won",4,"2","3"
"130",0,"Urug",0,"Paraguay",0,"P Bueno",20,"W","won",4,"2","3"
"131",10,"Arg",0,"Uruguay",0,"B Madero",20,"FH","won",0,"1","2"
"132",0,"Tonga",0,"USA",0,"VV Iongi",20,"W","won",4,"2","2"
"133",4,"Tonga",0,"Fiji",4,"KS Morath",20,"FH","won",0,"2","2"
"134",0,"Fiji",0,"Namibia",0,"V Goneva",20,"W","won",4,"2","2"
"135",6,"SA",0,"Namibia",1,"M Steyn",20,"FH","won",1,"1","2"
"136",0,"NZ",0,"Canada",0,"ZR Guildford",20,"W","won",4,"1","2"
"137",1,"Eng",0,"Ireland",6,"OA Farrell",20,"FH","won",0,"1","1"
"138",3,"Wales",0,"Barbarians",3,"JW Hook",20,"C","won",1,"1","Lions/Barb"
"139",1,"Italy",0,"Canada",6,"KS Burton",20,"FH","won",0,"1","2"
"140",1,"Aust",0,"Argentina",6,"MJ Harris",20,"FB","won",0,"1","1"
"141",4,"Germ",0,"Poland",4,"R Parkinson",20,"FH","lost",0,"2","3"
"142",0,"Samoa",0,"Canada",0,"RV Lilomaiava",20,"W","won",4,"2","2"
"143",1,"Spain",0,"Namibia",6,"JM Carrion Llorens",20,"W","won",0,"2","2"
"144",1,"Rom",0,"Spain",6,"FA Vlaicu",20,"C","won",0,"2","2"
"145",0,"Arg",0,"Chile",0,"D Isaack",20,"FB","won",4,"1","3"
"146",5,"Arg",0,"Brazil",0,"SA Poet",20,"FH","won",2,"1","3"
"147",0,"JPN",0,"UAE",0,"Y Imamura",20,"W","won",4,"2","3"
"149",4,"Namib",0,"Tunisia",4,"TAW Kotze",20,"FH","won",0,"2","3"
"150",3,"NZ",0,"Australia",3,"AW Cruden",20,"FH","won",1,"1","1"
"151",4,"Wales",0,"Argentina",4,"SL Halfpenny",20,"FB","won",0,"1","1"
"152",1,"JPN",0,"Spain",6,"A Goromaru",20,"FB","won",0,"2","2"
"153",3,"Aust",0,"Wales",3,"CP Leali'ifano",20,"C","won",1,"1","1"
"154",0,"JPN",0,"Korea",0,"A Yamada",20,"W","won",4,"2","3"
"155",0,"Arg",0,"Uruguay",0,"M Montero",20,"W","won",4,"1","2"
"156",6,"Fiji",0,"Tonga",1,"RNDSN Nadolo",20,"C","won",1,"2","2"
"157",0,"Namib",0,"Madagascar",0,"R Bothma",20,"N8","won",4,"2","3"
"158",1,"Rom",0,"Spain",6,"FA Vlaicu",20,"C","won",0,"2","2"
"159",1,"NZ",0,"Samoa",6,"DW Carter",20,"FH","won",0,"1","2"
"160",10,"Namib",0,"Zimbabwe",0,"TAW Kotze",20,"FH","won",0,"2","3"
"161",4,"Scot",0,"Japan",4,"GD Laidlaw",20,"SH","won",0,"1","2"
"162",1,"Eng",1,"Wales",5,"OA Farrell",20,"FH","lost",0,"1","1"
"163",0,"Chile",0,"Uruguay",5,"M Nordenflycht Torrico",20,"C","lost",1,"3","2"
"164",1,"Eng",0,"Wales",6,"OA Farrell",20,"C","won",0,"1","1"
"165",1,"Arg",0,"Italy",6,"FN Sanchez",20,"FH","won",0,"1","1"
"166",3,"Aust",0,"England",3,"BT Foley",20,"FH","lost",1,"1","1"
"167",1,"USA",0,"Russia",6,"AL MacGinty",20,"FH","won",0,"2","2"
"168",1,"Samoa",1,"Canada",5,"D Leuila",20,"FH","won",0,"2","2"
"169",4,"Fra",0,"Italy",4,"C Lopez",20,"FH","won",0,"1","1"
"170",4,"Arg",0,"Georgia",4,"FN Sanchez",20,"FH","won",0,"1","2"
"171",3,"Tonga",0,"Samoa",3,"S Takulua",20,"SH","won",1,"2","2"
"172",0,"Namib",0,"Senegal",0,"R Kitshoff",20,"F","won",4,"2","3"
"173",5,"NZ",0,"Australia",0,"BJ Barrett",20,"FH","won",2,"1","1"
"174",4,"Aust",0,"France",2,"MJ Giteau",19,"FH","won",1,"1","1"
"175",2,"NZ",0,"Australia",5,"DW Carter",19,"FH","won",0,"1","1"
"176",7,"NZ",0,"Samoa",0,"SR Donald",19,"FH","won",1,"1","2"
"178",2,"NZ",0,"Wales",5,"DW Carter",19,"FH","won",0,"1","1"
"179",2,"NZ",0,"South Africa",5,"DW Carter",19,"FH","lost",0,"1","1"
"180",1,"Urug",0,"USA",4,"JJ Etcheverry Cavanna",19,"FB","lost",1,"2","2"
"181",5,"Rom",0,"Tunisia",3,"DM Dumbrava",19,"FH","won",0,"2","3"
"182",4,"NZ",0,"Australia",2,"DW Carter",19,"FH","won",1,"1","1"
"183",2,"SA",0,"Wales",5,"M Steyn",19,"FH","won",0,"1","1"
"184",2,"Fra",0,"Fiji",5,"D Yachvili",19,"SH","won",0,"1","2"
"185",2,"Urug",0,"Brazil",5,"S Arocena",19,"W","won",0,"2","3"
"186",7,"JPN",0,"Sri Lanka",0,"A Tanabe",19,"FB","won",1,"2","3"
"187",5,"Tonga",0,"USA",3,"KS Morath",19,"FH","won",0,"2","2"
"188",2,"Namib",0,"Portugal",5,"TAW Kotze",19,"FH","won",0,"2","2"
"189",2,"Tonga",0,"Samoa",5,"KS Morath",19,"FH","won",0,"2","2"
"190",4,"NZ",0,"Fiji",2,"CR Slade",19,"FH","won",1,"1","2"
"191",4,"Aust",0,"South Africa",2,"JD O'Connor",19,"W","won",1,"1","1"
"192",5,"Fiji",0,"Namibia",3,"S Baikeinuku",19,"C","won",0,"2","2"
"193",1,"Urug",0,"Chile",4,"M Arocena",19,"FH","won",1,"2","3"
"194",5,"Fra",0,"Argentina",3,"F Michalak",19,"FH","won",0,"1","1"
"195",2,"JPN",0,"Romania",5,"A Goromaru",19,"FB","won",0,"2","2"
"196",3,"Ire",0,"Argentina",1,"JJ Sexton",19,"FH","won",2,"1","1"
"197",3,"USA",0,"Romania",1,"CT Wyles",19,"FB","won",2,"2","2"
"198",1,"Fra",0,"Samoa",4,"F Michalak",19,"FH","won",1,"1","2"
"199",7,"JPN",0,"Korea",0,"A Goromaru",19,"FB","won",1,"2","3"
"200",4,"Eng",0,"Argentina",2,"FS Burns",19,"FH","won",1,"1","1"
"201",2,"Italy",0,"Scotland",5,"A di Bernardo",19,"FH","lost",0,"1","1"
"202",2,"Aust",0,"New Zealand",5,"CP Leali'ifano",19,"C","lost",0,"1","1"
"203",2,"Eng",0,"Wales",5,"OA Farrell",19,"FH","won",0,"1","1"
"204",3,"Urug",0,"Paraguay",1,"F Favaro Garcia",19,"W","won",2,"2","3"
"205",2,"JPN",0,"Canada",5,"A Goromaru",19,"FB","won",0,"2","2"
"206",2,"Rom",1,"Uruguay",4,"FA Vlaicu",19,"C","won",0,"2","2"
"207",5,"NZ",0,"Australia",3,"AW Cruden",19,"FH","won",0,"1","1"
"208",3,"SA",0,"New Zealand",1,"H Pollard",19,"FH","won",2,"1","1"
"209",5,"Ire",0,"Georgia",3,"IL Madigan",19,"FH","won",0,"1","2"
"210",2,"Fra",0,"Italy",5,"F Michalak",19,"FH","won",0,"1","1"
"211",2,"SA",1,"Scotland",4,"H Pollard",19,"FH","won",0,"1","1"
"212",2,"Scot",0,"Australia",5,"GD Laidlaw",19,"SH","lost",0,"1","1"
"213",2,"NZ",1,"Australia",4,"DW Carter",19,"FH","won",0,"1","1"
"214",2,"Braz",0,"Uruguay",5,"DN Harvey",19,"FH","lost",0,"3","2"
"215",7,"USA",0,"Chile",0,"JP Eloff",19,"FH","won",1,"2","3"
"216",2,"Urug",0,"USA",5,"AL Ormaechea",19,"SH","won",0,"2","2"
"217",5,"Rom",0,"Germany",3,"FA Vlaicu",19,"C","won",0,"2","2"
"218",7,"JPN",0,"Korea",0,"R Yamanaka",19,"FH","won",1,"2","3"
"219",8,"JPN",0,"Hong Kong",1,"R Nakamura",19,"FH","won",0,"2","3"
"220",4,"Kenya",0,"Hong Kong",2,"D Mukidza Kinyangi",19,"W","won",1,"3","3"
"221",4,"Eng",0,"South Africa",2,"OA Farrell",19,"C","won",1,"1","1"
"222",2,"Scot",0,"Wales",5,"FA Russell",19,"FH","won",0,"1","1"
"223",1,"Belg",0,"Germany",4,"A Williams",19,"FH","lost",1,"3","2"
"224",4,"Kenya",0,"Hong Kong",2,"D Mukidza Kinyangi",19,"W","lost",1,"3","3"
"225",4,"SA",0,"Argentina",2,"ET Jantjies",19,"FH","won",1,"1","1"
"226",3,"Wales",0,"Italy",4,"SM Jones",18,"FH","won",0,"1","1"
"227",3,"Eng",0,"Ireland",4,"DJ Cipriani",18,"FH","won",0,"1","1"
"228",0,"Urug",0,"Georgia",6,"M Arocena",18,"FH","lost",0,"2","2"
"229",9,"SA",0,"Argentina",0,"AD James",18,"FH","won",0,"1","1"
"230",5,"Urug",0,"Chile",1,"JJ Etcheverry Cavanna",18,"FB","won",1,"2","3"
"231",9,"Samoa",0,"PNG",0,"TJ Esau",18,"FB","won",0,"2","3"
"232",0,"Aust",0,"New Zealand",6,"MJ Giteau",18,"FH","lost",0,"1","1"
"233",3,"NZ",0,"Australia",4,"DW Carter",18,"FH","won",0,"1","1"
"234",3,"Wales",0,"Italy",4,"SM Jones",18,"FH","won",0,"1","1"
"235",0,"Scot",1,"Ireland",5,"DA Parks",18,"FH","won",0,"1","1"
"236",6,"Rom",0,"Spain",2,"FA Vlaicu",18,"FB","won",0,"2","2"
"238",3,"NZ",0,"Ireland",4,"DW Carter",18,"FH","won",0,"1","1"
"239",1,"Can",0,"Portugal",2,"J Pritchard",18,"FB","won",2,"2","2"
"240",3,"Rom",0,"Russia",4,"FA Vlaicu",18,"FH","won",0,"2","2"
"241",0,"Urug",1,"Chile",5,"S Arocena",18,"W","lost",0,"2","3"
"242",2,"Aust",0,"Samoa",3,"MJ Giteau",18,"FH","lost",1,"1","2"
"243",0,"SA",1,"New Zealand",5,"M Steyn",18,"FH","won",0,"1","1"
"244",9,"Aust",0,"Russia",0,"JD O'Connor",18,"FB","won",0,"1","2"
"245",9,"Arg",0,"Brazil",0,"S Ambrosio",18,"FH","won",0,"1","3"
"246",0,"Tonga",0,"Samoa",6,"KS Morath",18,"FH","lost",0,"2","2"
"247",0,"NZ",0,"Australia",6,"DW Carter",18,"FH","draw",0,"1","1"
"248",3,"NZ",0,"Wales",4,"AW Cruden",18,"FH","won",0,"1","1"
"249",3,"Eng",0,"Scotland",4,"OA Farrell",18,"FH","won",0,"1","1"
"250",0,"Scot",0,"Wales",6,"GD Laidlaw",18,"SH","lost",0,"1","1"
"251",0,"Eng",0,"Italy",6,"TGAL Flood",18,"FH","won",0,"1","1"
"252",3,"Chile",0,"Brazil",4,"J Valderrama",18,"FB","won",0,"3","3"
"254",3,"SA",0,"Australia",4,"M Steyn",18,"FH","won",0,"1","1"
"255",3,"Aust",1,"New Zealand",3,"QS Cooper",18,"FH","lost",0,"1","1"
"256",9,"Port",0,"Brazil",0,"PMDC Leal",18,"FB","won",0,"2","3"
"257",2,"Georg",0,"USA",3,"M Kvirikashvili",18,"FB","lost",1,"2","2"
"258",2,"Russ",0,"Spain",3,"Y Kushnarev",18,"FH","won",1,"2","2"
"259",0,"Wales",0,"England",6,"SL Halfpenny",18,"FB","lost",0,"1","1"
"260",3,"JPN",0,"Samoa",4,"A Goromaru",18,"FB","won",0,"2","2"
"261",0,"Samoa",0,"Fiji",6,"T Pisi",18,"FH","won",0,"2","2"
"262",0,"SA",0,"Australia",6,"M Steyn",18,"FH","lost",0,"1","1"
"263",3,"Aust",1,"Wales",3,"BT Foley",18,"FH","won",0,"1","1"
"264",0,"JPN",0,"Romania",6,"A Goromaru",18,"FB","won",0,"2","2"
"265",0,"Rom",0,"Canada",6,"FA Vlaicu",18,"FH","won",0,"2","2"
"266",3,"Georg",0,"Russia",4,"M Kvirikashvili",18,"FB","won",0,"2","2"
"267",3,"Ire",0,"Scotland",4,"JJ Sexton",18,"FH","won",0,"1","1"
"268",0,"USA",0,"Japan",6,"AL MacGinty",18,"FH","won",0,"2","2"
"269",3,"Tonga",0,"USA",4,"KS Morath",18,"FH","won",0,"2","2"
"271",0,"SA",1,"Wales",5,"H Pollard",18,"FH","won",0,"1","1"
"272",5,"Chile",0,"Paraguay",1,"M Nordenflycht Torrico",18,"C","won",1,"3","3"
"273",9,"Arg",0,"Chile",0,"J Diaz Bonilla",18,"FH","won",0,"1","3"
"274",2,"Eng",0,"Australia",3,"OA Farrell",18,"C","won",1,"1","1"
"275",0,"Can",0,"Italy",6,"GA McRorie",18,"SH","lost",0,"2","1"
"276",2,"Aust",0,"South Africa",3,"BT Foley",18,"C","won",1,"1","1"
"277",0,"SA",2,"Australia",4,"M Steyn",18,"FH","won",0,"1","1"
"278",2,"Port",0,"Switzerland",3,"NMRPS Guedes",18,"FB","won",1,"2","3"
"279",5,"Fiji",0,"Japan",1,"RNDSN Nadolo",18,"W","won",1,"2","2"
"280",3,"Wales",0,"Italy",4,"SL Halfpenny",18,"FB","won",0,"1","1"
"281",9,"Ire",0,"Italy",0,"DPLJ Jackson",18,"FH","won",0,"1","1"
"282",2,"Can",1,"Brazil",2,"GA McRorie",18,"SH","lost",1,"2","3"
"283",4,"Port",0,"Moldova",0,"NM Penha e Costa",18,"FH","won",2,"2","3"
"284",0,"Wales",0,"France",6,"SL Halfpenny",18,"FB","lost",0,"1","1"
"285",3,"JPN",0,"Romania",4,"J Ogura",18,"FH","won",0,"2","2"
"286",9,"Aust",0,"Japan",0,"R Hodge",18,"FH","won",0,"1","2"
"287",4,"SA",0,"Wales",3,"AD James",17,"FH","won",0,"1","1"
"288",1,"Aust",0,"Italy",5,"MJ Giteau",17,"FH","won",0,"1","1"
"289",6,"Arg",0,"Chile",0,"BM Urdapilleta",17,"FH","won",1,"1","3"
"290",1,"Arg",0,"Italy",5,"F Contepomi",17,"C","won",0,"1","1"
"292",1,"Spain",1,"Germany",4,"C Riu",17,"FH","won",0,"2","2"
"293",1,"NZ",0,"England",5,"DW Carter",17,"FH","won",0,"1","1"
"294",1,"Fra",0,"Scotland",5,"L Beauxis",17,"FH","won",0,"1","1"
"295",1,"Ire",1,"Scotland",4,"RJR O'Gara",17,"FH","won",0,"1","1"
"296",1,"Port",0,"Romania",5,"PPDC Cabral",17,"FH","won",0,"2","2"
"297",4,"Can",0,"Georgia",3,"J Pritchard",17,"FB","won",0,"2","2"
"298",1,"Eng",0,"Argentina",5,"AJ Goode",17,"FH","lost",0,"1","1"
"299",2,"Russ",0,"Uruguay",1,"A Yanyushkin",17,"FH","won",2,"2","2"
"300",1,"NZ",0,"Australia",5,"SR Donald",17,"FH","won",0,"1","1"
"301",3,"Wales",0,"Argentina",2,"SM Jones",17,"FH","won",1,"1","1"
"302",1,"Namib",0,"Tunisia",5,"E Wessels",17,"FH","won",0,"2","3"
"303",1,"Rom",1,"Georgia",4,"DM Dumbrava",17,"FH","won",0,"2","2"
"305",7,"NZ",0,"Ireland",1,"DW Carter",17,"FH","won",0,"1","1"
"307",1,"NZ",0,"Wales",5,"DW Carter",17,"FH","won",0,"1","1"
"308",1,"SA",0,"New Zealand",5,"M Steyn",17,"FH","lost",0,"1","1"
"309",1,"Arg",0,"Italy",5,"F Contepomi",17,"FH","won",0,"1","1"
"310",1,"Ire",0,"Argentina",5,"JJ Sexton",17,"FH","won",0,"1","1"
"311",1,"Italy",0,"France",5,"M Bergamasco",17,"W","won",0,"1","1"
"312",1,"JPN",0,"UAE",0,"RT Nicholas",17,"C","won",3,"2","3"
"313",6,"Arg",0,"Chile",0,"S Gonzalez Iglesias",17,"FH","won",1,"1","3"
"314",3,"Tonga",0,"Japan",2,"KS Morath",17,"FH","lost",1,"2","2"
"315",1,"Tonga",0,"Fiji",5,"KS Morath",17,"FH","won",0,"2","2"
"316",4,"Fra",0,"Japan",3,"D Yachvili",17,"SH","won",0,"1","2"
"317",1,"Georg",0,"Romania",5,"M Kvirikashvili",17,"FH","won",0,"2","2"
"318",4,"Ire",0,"Italy",3,"JJ Sexton",17,"FH","won",0,"1","1"
"319",6,"JPN",0,"Hong Kong",0,"A Goromaru",17,"FB","won",1,"2","3"
"320",4,"Spain",0,"Russia",3,"M Peluchon Carrero",17,"FB","lost",0,"2","2"
"321",4,"NZ",0,"Ireland",3,"DW Carter",17,"FH","won",0,"1","1"
"322",0,"SA",0,"England",4,"M Steyn",17,"FH","won",1,"1","1"
"323",1,"NZ",1,"Ireland",4,"DW Carter",17,"FH","won",0,"1","1"
"324",1,"Aust",0,"Wales",5,"BS Barnes",17,"FH","won",0,"1","1"
